ASV	L13	L1	L9	L5	L17	L14	L2	L10	L6	L18	L15	L3	L11	L7	L19	L16	L4	L12	L8	L20
0c7a1a8b8b98b73945241e87fd096a07	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0d69dc17a3831e3b1d614e0919b23b36	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8547c6cce517258796bdc2b1b12052d4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ec12ca9976feab4c02bb86fcd632a276	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
c2677237872a0b42df67f66c4d297378	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ba758065ebe298192c5dd8a42ac2dc0a	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
944d762be36805959b0104ec843e7a11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
08d634e10ef694354e1c29e9c5d8e1ce	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
a4261d2fe8266fa155aa3a4bb8cae1d8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
67c8f39d7eb1e1c278e21d3d21e9bb8f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ef08c522010381d81843b3722a2dffbd	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
fcd97edde77923b1af22096964fd8bf0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5a0ebcad67ae1ab5436c5f1f9943e792	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
c2fcb47a908855ca26bd90016c51e3b8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
8e75536c0b7e185b7da9056a6c967145	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99d4fd8d079d1fc72e65fe855efa7b73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
9d8f3eeeb1530fa52e2b253e20579b71	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
035f8fb5c71bb112b6ee75b88dfbd51a	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99093698ade89cb8a8e47beefd2bf763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
6b91c31a8f587dc860ebb496fad463c1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d4144d2b67aac723e1b4fe58565a4b25	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0f2551eb7c43e82c8bd59d9e51a5aadf	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d814292c0fee2495d81188c0ad8c708c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3b930502fa9ac6fd434f4f2c14ff4acc	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b0a8bb1595e19921437d6816498e6f66	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aef2292cd6b582ae933adafcb89aba97	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
